=== HSK1 ===
爱|ài|yêu
批评|pīpíng|phê bình
平时|píngshí|bình thường
判断|pànduàn|phán đoán
乒乓球|pīngpāngqiú|bóng bàn
其次|qícì|tiếp theo
轻松|qīngsōng|thoải mái
轻|qīng|nhẹ
缺点|quēdiǎn|khuyết điểm
缺少|quēshǎo|thiếu
签证|qiānzhèng|visa
穷|qióng|nghèo
确实|quèshí|thật sự
气候|qìhòu|khí hậu
桥|qiáo|cầu
敲|qiāo|gõ
情况|qíngkuàng|tình hình
巧克力|qiǎokèlì|sô cô la
取|qǔ|lấy
却|què|lại
千万|qiānwàn|nhất thiết
区别|qūbié|khác biệt
其中|qízhōng|trong đó
全部|quánbù|toàn bộ
亲戚|qīnqi|họ hàng
然而|ránér|vậy mà
热闹|rènào|náo nhiệt
日记|rìjì|nhật kí
扔|rēng|ném
入口|rùkǒu|cửa vào
任务|rènwù|nhiệm vụ
任何|rènhé|bất kì
仍然|réngrán|vẫn
散步|sànbù|tản bộ
首都|shǒudū|thủ đô
首先|shǒuxiān|đầu tiên
顺序|shùnxù|thứ tự
顺利|shùnlì|thuận lợi
顺便|shùnbiàn|nhân tiện
随着|suízhe|cùng với
随便|suíbiàn|tùy tiện, tự nhiên
酸|suān|chua
速度|sùdù|tốc độ
适应|shìyìng|thích nghi
适合|shìhé|thích hợp
输|shū|thua
说明|shuōmíng|nói rõ
稍微|shāowēi|một chút
社会|shèhuì|xã hội
硕士|shuòshì|thạc sĩ
省|shěng|tỉnh thành
申请|shēnqǐng|xin
生活|shēnghuó|cuộc sống
生意|shēngyì|kinh doanh
生命|shēngmìng|tính mạng
甚至|shènzhì|thậm chí
熟悉|shúxī|quen thuộc
深|shēn|sâu
沙发|shāfā|ghế sô pha
死|sǐ|chết
森林|sēnlín|rừng sâu
是否|shìfǒu|liệu có phải
数量|shùliàng|số lượng
数字|shùzi|con cố
收拾|shōushí|dọn dẹp
收入|shōurù|thu nhập
收|shōu|nhận
所有|suǒyǒu|tất cả
师傅|shīfù|sư phụ
帅|shuài|đẹp trai
实际|shíjì|thực tế
实在|shízài|thật sự
孙子|sūnzi|cháu trai
失败|shībài|thất bại
失望|shīwàng|thất vọng
塑料袋|sùliàodài|túi ni lông
商量|shāngliáng|thương lượng, bàn bạc
售货员|shòuhuòyuán|nhân viên bán vé
受到|shòudào|nhận được
受不了|shòubùliǎo|không chịu nổi
十分|shífēn|vô cùng
勺子|sháozi|cái thìa
剩|shèng|thừa
使用|shǐyòng|sử dụng
使|shǐ|khiến cho
伤心|shāngxīn|tổn thương
世纪|shìjì|thế kỉ
台|tái|cái, chiếc
通过|tōngguò|thông qua
通知|tōngzhī|thông báo
躺|tǎng|nằm
趟|tàng|chuyến
谈|tán|nói chuyện
讨论|tǎolùn|thảo luận
讨厌|tǎoyàn|ghét
脱|tuō|cởi
糖|táng|đường
特点|tèdiǎn|đặc điểm
汤|tāng|canh
条件|tiáojiàn|điều kiện
提醒|tíxǐng|nhắc nhở
提前|tíqián|trước thời hạn
提供|tígōng|cung cấp
提|tí|đề ra
推迟|tuīchí|kéo dài thời gian
推|tuī|đẩy
挺|tǐng|rất
抬|tái|ngẩng
态度|tàidù|thái độ
弹钢琴|tángāngqín|chơi piano
填空|tiánkòng|điền trống
同时|tóngshí|đồng thời
同情|tóngqíng|đồng tình
停|tíng|dừng
袜子|wàzi|tất chân
误会|wùhuì|hiểu lầm
网站|wǎngzhàn|trang mạng
网球|wǎngqiú|tennis
温度|wēndù|nhiệt độ
污染|wūrǎn|ô nhiễm
无论|wúlùn|bất luận
无聊|wúliáo|nhàm chán
无|wú|không
文章|wénzhāng|bài văn
往往|wǎngwǎng|thường (quá khứ)
完全|wánquán|hoàn toàn
味道|wèidào|mùi vị
危险|wēixiǎn|nguy hiểm
卫生间|wèishēngjiān|phòng vệ sinh
西红柿|xīhóngshì|cà chua
香|xiāng|thơm
醒|xǐng|tỉnh
辛苦|xīnkǔ|vất vả
详细|xiángxì|tỉ mỉ
许多|xǔduō|rất nhiều
行|xíng|được
羡慕|xiànmù|ngưỡng mộ
笑话|xiàohuà|truyện cười
相同|xiāngtóng|giống nhau
相反|xiāngfǎn|ngược lại
现金|xiànjīn|tiền mặt
消息|xiāoxi|thông tin, tin
橡皮|xiàngpí|cục tẩy
效果|xiàoguǒ|hiệu quả
性格|xìnggé|tính cách
性别|xìngbié|giới tính
心情|xīnqíng|tâm trạng
幸福|xìngfú|hạnh phúc
小说|xiǎoshuō|tiểu thuyết
小吃|xiǎochī|đồ ăn vặt
小伙子|xiǎohuǒzi|anh chàng
学期|xuéqī|học kì
响|xiǎng|kêu
咸|xián|mặn
吸引|xīyǐn|thu hút
兴奋|xīngfèn|hưng phấn, hứng khởi
修理|xiūlǐ|sửa chữa
信息|xìnxī|thông tin
信心|xìnxīn|niềm tin
信封|xìnfēng|bức thư
压力|yālì|áp lực
预习|yùxí|chuẩn bị trước
页|yè|trang mạng
阳光|yángguāng|ánh nắng
阅读|yuèdú|đọc hiểu
钥匙|yàoshi|chìa khóa
邮局|yóujú|bưu điện
邀请|yāoqǐng|mời
赢|yíng|thắng
语言|yǔyán|ngôn ngữ
语法|yǔfǎ|ngữ pháp
要是|yàoshì|nếu
艺术|yìshù|nghệ thuật
羽毛球|yǔmáoqiú|cầu lông
约会|yuēhuì|hẹn, cuộc hẹn
研究|yánjiū|nghiên cứu
眼镜|yǎnjìng|kính mắt
盐|yán|muối
由于|yóuyú|do
由|yóu|do
牙膏|yágāo|kem đánh răng
演员|yǎnyuán|diễn viên
演出|yǎnchū|buổi diễn
永远|yǒngyuǎn|mãi mãi
样子|yàngzi|dáng ngoài,bề ngoài
有趣|yǒuqù|hứng thú
意见|yìjiàn|ý kiến
愉快|yúkuài|vui vẻ
引起|yǐnqǐ|dẫn đến, gây ra
应聘|yìngpìn|ứng tuyển
幽默|yōumò|hài hước
尤其|yóuqí|đặc biệt là
因此|yīncǐ|cho nên
呀|yā|a
叶子|yèzi|chiếc lá
友谊|yǒuyì|hữu nghị
友好|yǒuhǎo|hữu hảo
原谅|yuánliàng|tha thứ
原来|yuánlái|hóa ra, vốn, cũ
原因|yuányīn|nguyên nhân
印象|yìnxiàng|ấn tượng
勇敢|yǒnggǎn|dũng cảm
养成|yǎngchéng|nuôi dưỡng, hình thành
允许|yǔnxǔ|cho phép
优秀|yōuxiù|ưu tú
优点|yōudiǎn|ưu điểm
以为|yǐwéi|tưởng rằng
以|yǐ|lấy
亚洲|Yàzhōu|châu Á
云|yún|mây
于是|yúshì|thế là
也许|yěxǔ|có lẽ
严重|yánzhòng|nghiêm trọng
严格|yángé|nghiêm khắc
与|yǔ|và
一切|yīqiè|tất cả
杂志|zázhì|tạp chí
重视|zhòngshì|coi trọng
重点|zhòngdiǎn|trọng điểm
重|zhòng|nặng
转|zhuǎn|chuyển
赚|zhuàn|kiếm
质量|zhìliàng|chất lượng
责任|zérèn|trách nhiệm
证明|zhèngmíng|chứng minh
著名|zhùmíng|nổi tiếng
至少|zhìshǎo|chí ít
自然|zìrán|tự nhiên
自信|zìxìn|tự tin
脏|zāng|bẩn
职业|zhíyè|nghề nghiệp
租|zū|thuê
祝贺|zhùhè|chúc mừng
知识|zhīshí|tri thức, kiến thức
真正|zhēnzhèng|thật
直接|zhíjiē|trực tiếp
照|zhào|chiếu
正确|zhèngquè|chính xác
正式|zhèngshì|chính thức
正常|zhèngcháng|bình thường
正好|zhènghǎo|vừa hay
植物|zhíwù|thực vật
最好|zuìhǎo|tốt nhất
暂时|zànshí|tạm thời
整理|zhěnglǐ|chỉnh sửa
支持|zhīchí|ủng hộ
指|zhǐ|chỉ
招聘|zhāopìn|tuyển dụng
总结|zǒngjié|tổng kết
座位|zuòwèi|chỗ ngồi
座|zuò|tòa
左右|zuǒyòu|khoảng
尊重|zūnzhòng|tôn trọng
增加|zēngjiā|tăng thêm
咱们|zánmen|chúng ta
周围|zhōuwéi|xung quanh
只要|zhǐyào|chỉ cần
只好|zhǐhǎo|đành
占线|zhànxiàn|máy bận
准确|zhǔnquè|chính xác
准时|zhǔnshí|đúng giờ
值得|zhídé|đáng
作者|zuòzhě|tác gia
作用|zuòyòng|tác dụng
作家|zuòjiā|tác gia
仔细|zǐxì|cẩn thận
之|zhī|chi
主意|zhǔyì|chủ ý
专门|zhuānmén|chuyên môn
专业|zhuānyè|chuyên ngành

=== HSK5 ===
哎|āi|thán từ
唉|āi|thán từ
爱护|àihù|yêu thương, giữ gìn
爱惜|àixī|quý trọng
爱心|àixīn|lòng tốt
安装|ānzhuāng|lắp đặt
岸|àn|bờ
暗|àn|tối
熬夜|áoyè|thức đêm
把握|bǎwò|nắm chắc
摆|bǎi|bày
办理|bànlǐ|làm (thủ tục)
傍晚|bàngwǎn|chiều muộn
包裹|bāoguǒ|bưu kiện
包含|bāohán|bao hàm
包括|bāokuò|bao gồm
薄|báo|mỏng
宝贝|bǎobèi|bảo bối
宝贵|bǎoguì|quí báu
保持|bǎochí|duy trì
保留|bǎoliú|bảo lưu
保险|bǎoxiǎn|bảo hiểm
报到|bàodào|điểm danh
报道|bàodào|đưa tin, bản tin
报告|bàogào|báo cáo
报社|bàoshè|tòa soạn báo
抱怨|bàoyuàn|trách móc
背|bèi|học thuộc
悲观|bēiguān|bi quan
背景|bèijǐng|bối cảnh
被子|bèizi|chăn
本科|běnkē|trình độ đại học
本领|běnlǐng|bản lĩnh
本质|běnzhì|bản chất
比例|bǐlì|tỉ lệ
彼此|bǐcǐ|lẫn nhau, với nhau, cả hai
必然|bìrán|tất yếu
必要|bìyào|cần thiết, cần
避免|bìmiǎn|tránh
编辑|biānjí|biên tập
鞭炮|biānpào|pháo
便|biàn|liền
辩论|biànlùn|biện luận
标点|biāodiǎn|dấu
标志|biāozhì|đánh dấu
表达|biǎodá|diễn đạt
表面|biǎomiàn|bề mặt, bề ngoài
表明|biǎomíng|cho thấy
表情|biǎoqíng|biểu cảm
表现|biǎoxiàn|biểu hiện
冰激凌|bīngjīlíng|kem
病毒|bìngdú|vi rút
玻璃|bōlí|thủy tinh
播放|bōfàng|phát sóng
脖子|bózi|cổ
博物馆|bówùguǎn|bảo tàng
补充|bǔchōng|bổ sung
不安|búān|bất an
不断|búduàn|không ngừng
不见得|bújiàndé|chưa chắc
不耐烦|búnàifán|chán nản
不然|búrán|nếu không thì
不如|búrú|không bằng
不要紧|búyàojǐn|không sao
不足|búzú|không đủ
布|bù|vải
步骤|bùzhòu|bước
部门|bùmén|ban ngành
财产|cáichǎn|tài sản
采访|cǎifǎng|phỏng vấn
采取|cǎiqǔ|chọn, dùng
彩虹|cǎihóng|cầu vồng
踩|cǎi|giẫm
参考|cānkǎo|tham khảo
参与|cānyù|can dự
惭愧|cánkuì|hổ thẹn
操场|cāochǎng|sân vận động
操心|cāoxīn|lo lắng
册|cè|quyển
测验|cèyàn|thí nghiệm
曾经|céngjīng|đã từng
叉子|chāzi|cái dĩa, cái xiên, cái nĩa
差距|chājù|sự khác biệt
插|chā|cắm
拆|chāi|gỡ, dỡ
产品|chǎnpǐn|sản phẩm
产生|chǎnshēng|sản sinh, nảy sinh
长途|chángtú|đường dài
常识|chángshí|thường thức
抄|chāo|chép
超级|chāojí|siêu cấp
朝|cháo|về hướng
潮湿|cháoshī|ẩm ướt
吵|chǎo|ồn ào
吵架|chǎojià|cãi vã
炒|chǎo|xào
车库|chēkù|nhà xe
车厢|chēxiāng|toa tàu
彻底|chèdǐ|triệt để
沉默|chénmò|im lặng
趁|chèn|nhân
称|chēng|cân
称呼|chēnghū|xưng hô
称赞|chēngzàn|tán thưởng
成分|chéngfèn|thành phần
成果|chéngguǒ|thành quả
成就|chéngjiù|thành tựu
成立|chénglì|thành lập
成人|chéngrén|người lớn
成熟|chéngshú|thành thục
成语|chéngyǔ|thành ngữ
成长|chéngzhǎng|trưởng thành
诚恳|chéngkěn|thành khẩn
承担|chéngdān|chịu trách nhiệm
承认|chéngrèn|thừa nhận
承受|chéngshòu|chịu đựng
程度|chéngdù|trình độ
程序|chéngxù|trình tự
吃亏|chīkuī|thiệt thòi
池塘|chítáng|ao hồ
迟早|chízǎo|sớm muộn
持续|chíxù|kéo dài
尺子|chǐzi|thước đo
翅膀|chìbǎng|cánh
冲|chōng|xông, xô đẩy
充分|chōngfèn|đầy đủ
充满|chōngmǎn|tràn đầy
重复|chóngfù|lặp lại
宠物|chǒngwù|thú cưng
抽屉|chōutì|ngăn kéo
抽象|chōuxiàng|trừu tượng
丑|chǒu|xấu
臭|chòu|thối
出版|chūbǎn|xuất bản
出口|chūkǒu|lối ra, cửa ra
出色|chūsè|xuất sắc
出示|chūshì|xuất trình
出席|chūxí|tham dự
初级|chūjí|sơ cấp
除非|chúfēi|trừ phi
除夕|chúxī|giao thừa
处理|chǔlǐ|xử lý
传播|chuánbō|lan truyền, lây lan
传染|chuánrǎn|nhiễm
传说|chuánshuō|truyền thuyết
传统|chuántǒng|truyền thống
窗帘|chuānglián|rèm cửa
闯|chuǎng|xông vào, xông lên
创造|chuàngzào|sáng tạo
吹|chuī|thổi
词汇|cíhuì|từ vựng
辞职|cízhí|từ chức, bỏ việc
此外|cǐwài|ngoài ra
次要|cìyào|thứ yếu
刺激|cìjī|kích thích
匆忙|cōngmáng|vội vàng
从此|cóngcǐ|từ đó
从而|cóngér|cho nên
从前|cóngqián|từ trước
从事|cóngshì|theo đuổi
粗糙|cūcāo|thô ráp
促进|cùjìn|xúc tiến
促使|cùshǐ|thúc đẩy
醋|cù|giấm
催|cuī|giục
存在|cúnzài|tồn tại
措施|cuòshī|sách lược, chính sách
答应|dāyìng|hứa
达到|dádào|đạt đến
打工|dǎgōng|làm thêm
打交道|dǎjiāodào|kết bạn
打喷嚏|dǎpēntì|hắt xì
打听|dǎtīng|hỏi thăm
大方|dàfāng|phóng khoáng
大厦|dàshà|tòa nhà
大象|dàxiàng|voi
大型|dàxíng|lớn (qui mô)
呆|dāi|ở lì, ở
代表|dàibiǎo|đại diện
代替|dàitì|thay thế
贷款|dàikuǎn|vay tiền
待遇|dàiyù|đãi ngộ
担任|dānrèn|đảm nhiệm
单纯|dānchún|đơn thuần,ngây thơ
单调|dāndiào|đơn điệu
单独|dāndú|đơn độc
单位|dānwèi|đơn vị
单元|dānyuán|đơn nguyên, cụm
耽误|dānwù|bỏ lỡ
胆小鬼|dǎnxiǎoguǐ|kẻ nhát gan
淡|dàn|nhạt
当地|dāngdì|địa phương
当心|dāngxīn|để tâm, lưu tâm
挡|dǎng|chắn
导演|dǎoyǎn|đạo diễn
导致|dǎozhì|gây ra
岛屿|dǎoyǔ|đảo
倒霉|dǎoméi|xui xẻo
到达|dàodá|đến
道德|dàodé|đạo đức
道理|dàolǐ|đạo lí, bài học
登记|dēngjì|đăng kí
等待|děngdài|đợi, chờ đợi
等于|děngyú|bằng
滴|dī|giọt
的确|díquè|đúng, thật (phó từ)
敌人|dírén|kẻ địch
地道|dìdào|chuẩn bản địa (ngôn ngữ, món ăn)
地理|dìlǐ|địa lý
地区|dìqū|khu vực
地毯|dìtǎn|thảm
地位|dìwèi|địa vị
地震|dìzhèn|động đất
递|dì|truyền
点心|diǎnxīn|điểm tâm
电池|diànchí|pin
电台|diàntái|đài truyền hình
钓|diào|câu (cá)
顶|dǐng|đội, cái (lượng từ cho mũ)
动画片|dònghuàpiàn|phim hoạt hình
冻|dòng|đông cứng
洞|dòng|hang động
豆腐|dòufǔ|đậu phụ
逗|dòu|trêu
独立|dúlì|độc lập
独特|dútè|độc đáo
度过|dùguò|trải qua (thời kì, thời gian)
断|duàn|đoạn, đứt
堆|duī|đống
对比|duìbǐ|đối chiếu
对待|duìdài|đối đãi
对方|duìfāng|đối phương
对手|duìshǒu|đối thủ
对象|duìxiàng|đối tượng
兑换|duìhuàn|đổi
吨|dūn|tấn
蹲|dūn|quì
顿|dùn|bữa
多亏|duōkuī|thiệt cho ai đó
多余|duōyú|thừa thãi
朵|duǒ|bông
躲藏|duǒcáng|trốn
恶劣|èliè|khắc nghiệt, hà khắc
耳环|ěrhuán|khuyên tai
发表|fābiǎo|phát biểu, đăng, ra mắt (tác phẩm)
发愁|fāchóu|phát buồn, chán
发达|fādá|phát đạt, phát triển
发抖|fādǒu|run rẩy
发挥|fāhuī|phát huy
发明|fāmíng|phát minh
发票|fāpiào|hóa đơn giá trị gia tăng
发言|fāyán|phát biểu (ý kiến)
罚款|fákuǎn|phạt tiền
法院|fǎyuàn|tòa án
翻|fān|lật, giở
繁荣|fánróng|phồn vinh
反而|fǎnér|ngược lại
反复|fǎnfù|lặp đi lặp lại
反应|fǎnyìng|phản ứng
反映|fǎnyìng|phản ánh
反正|fǎnzhèng|dù sao thì
范围|fànwéi|phạm vi
方|fāng|phương
方案|fāngàn|phương án
方式|fāngshì|phương thức
妨碍|fángài|trở ngại, cản trở
仿佛|fǎngfú|dường như
非|fēi|phi, không
肥皂|féizào|bánh xà phòng
废话|fèihuà|lời nói thừa thãi
分别|fēnbié|phân biệt, lần lượt, xa nhau
分布|fēnbù|phân bố
分配|fēnpèi|chia sẻ, phân chia, phân công
分手|fēnshǒu|chia tay
分析|fēnxī|phân tích
纷纷|fēnfēn|lũ lượt
奋斗|fèndòu|phấn đấu
风格|fēnggé|phong cách
风景|fēngjǐng|phong cảnh
风俗|fēngsú|phong tục
风险|fēngxiǎn|mạo hiểm, hiểm nguy
疯狂|fēngkuáng|điên rồ
讽刺|fěngcì|châm biếm
否定|fǒudìng|phủ định
否认|fǒurèn|phủ nhận
扶|fú|vịn
服装|fúzhuāng|phục trang, quần áo
幅|fú|bức (lượng từ cho tranh)
辅导|fǔdǎo|phụ đạo, bổ trợ
妇女|fùnǚ|phụ nữ
复制|fùzhì|copy
改革|gǎigé|cải cách
改进|gǎijìn|cải tiến
改善|gǎishàn|cải thiện
改正|gǎizhèng|đính chính
盖|gài|đậy
概括|gàikuò|khái quát
概念|gàiniàn|khái niệm
干脆|gāncuì|dứt khoát
干燥|gānzào|khô ráo, khô hanh
赶紧|gǎnjǐn|mau chóng
赶快|gǎnkuài|mau chóng
感激|gǎnjī|cảm kích, biết ơn
感受|gǎnshòu|cảm nhận
感想|gǎnxiǎng|cảm tưởng, suy nghĩ
干活儿|gànhuóér|lao động
钢铁|gāngtiě|sắt thép
高档|gāodàng|cao cấp
高级|gāojí|cao cấp
搞|gǎo|làm
告别|gàobié|từ biệt
格外|géwài|đặc biệt
隔壁|gébì|sát vách, ngay cạnh
个别|gèbié|cá biệt
个人|gèrén|cá nhân
个性|gèxìng|cá tính
各自|gèzì|tự, mỗi
根|gēn|lượng từ: sợi, cành, khúc, ngón
根本|gēnběn|vốn
工厂|gōngchǎng|xưởng, xí nghiệp
工程师|gōngchéngshī|kỹ sư
工具|gōngjù|công cụ
工人|gōngrén|công nhân
工业|gōngyè|công nghiệp
公布|gōngbù|công bố
公开|gōngkāi|công khai
公平|gōngpíng|công bằng
公寓|gōngyù|chung cư
公元|gōngyuán|công nguyên
公主|gōngzhǔ|công chúa
功能|gōngnéng|công năng
恭喜|gōngxǐ|chúc mừng
贡献|gòngxiàn|cống hiến
沟通|gōutōng|trao đổi, thấu hiểu
构成|gòuchéng|tạo thành, cấu thành
姑姑|gūgu|cô
姑娘|gūniang|cô gái
古代|gǔdài|cổ đại
古典|gǔdiǎn|cổ điển
股票|gǔpiào|cổ phiếu
骨头|gǔtou|xương
鼓舞|gǔwǔ|cổ vũ
鼓掌|gǔzhǎng|vỗ tay
固定|gùdìng|cố định
挂号|guàhào|xếp số
乖|guāi|ngoan
拐弯|guǎiwān|rẽ
怪不得|guàibùdé|chẳng trách
关闭|guānbì|đóng
观察|guānchá|quan sát
观点|guāndiǎn|quan điểm
观念|guānniàn|quan niệm
官|guān|quan
管子|guǎnzi|cái ống
冠军|guànjūn|quán quân
光滑|guānghuá|bóng mượt
光临|guānglín|đến, có mặt
光明|guāngmíng|quang minh, sáng sủa
光盘|guāngpán|đĩa CD, VCD,DVD
广场|guǎngchǎng|quảng trường
广大|guǎngdà|quảng đại, rộng lớn
广泛|guǎngfàn|rộng khắp
归纳|guīnà|tóm tắt
规矩|guīju|qui tắc
规律|guīlǜ|qui luật
规模|guīmó|qui mô
规则|guīzé|nội qui
柜台|guìtái|quầy ba
滚|gǔn|cút, cuộn
锅|guō|nồi
国庆节|guóqìngjié|quốc khánh
国王|guówáng|quốc vương
果然|guǒrán|quả nhiên
果实|guǒshí|quả thật
过分|guòfèn|quá đáng
过敏|guòmǐn|mẫn cảm, dị ứng
过期|guòqī|quá hạn
哈|hā|ha ha
海关|hǎiguān|hải quan
海鲜|hǎixiān|hải sản
喊|hǎn|hét
行业|hángyè|ngành nghề
豪华|háohuá|sang trọng
好客|hàokè|hiếu khách
好奇|hàoqí|hiếu kì
合法|héfǎ|hợp pháp
合理|hélǐ|hợp lý
合同|hétóng|hợp đồng
合影|héyǐng|chụp ảnh chung, chụp ảnh tập thể
合作|hézuò|hợp tác
何必|hébì|hà tất
何况|hékuàng|huống hồ
和平|hépíng|hòa bình
核心|héxīn|trọng tâm
恨|hèn|hận
猴子|hóuzi|khỉ
后背|hòubèi|phía sau
后果|hòuguǒ|hậu quả
呼吸|hūxī|hít thở
忽然|hūrán|bỗng nhiên
忽视|hūshì|không coi trọng (kinh tế, ngành nghề, vấn đề nhỏ, nghiên cứu)
胡说|húshuō|nói nhăng quậy
胡同|hútòng|ngõ, hẻm
壶|hú|bình, ấm
蝴蝶|húdié|con bướm
糊涂|hútú|hồ đồ
花生|huāshēng|lạc
划|huá|chèo (thuyền)
华裔|huáyì|hoa kiều
滑|huá|trượt, trơn
化学|huàxué|hóa học
话题|huàtí|chủ đề
怀念|huáiniàn|hoài niệm
怀孕|huáiyùn|mang bầu
缓解|huǎnjiě|thả lỏng, giảm
幻想|huànxiǎng|hoang tưởng
慌张|huāngzhāng|hoảng sợ, rối rắm, rối
黄金|huángjīn|vàng
灰|huī|màu xám
灰尘|huīchén|tro bụi
灰心|huīxīn|nản lòng
挥|huī|vẫy
恢复|huīfù|hồi phục, khôi phục
汇率|huìlǜ|tỷ giá
婚礼|hūnlǐ|hôn lễ
婚姻|hūnyīn|hôn nhân
活跃|huóyuè|sôi nổi
火柴|huǒchái|diêm
伙伴|huǒbàn|bạn đồng hành
或许|huòxǔ|có lẽ
机器|jīqì|máy móc
肌肉|jīròu|cơ bắp
基本|jīběn|cơ bản, căn bản
激烈|jīliè|khốc liệt, kịch liệt
及格|jígé|đạt điểm qua
极其|jíqí|cực kì
急忙|jímáng|vội vàng
急诊|jízhěn|cấp cứu
集合|jíhé|tập hợp
集体|jítǐ|tập thể
集中|jízhōng|tập trung
计算|jìsuàn|tính toán
记录|jìlù|ghi chép
记忆|jìyì|ký ức
纪录|jìlù|kỷ lục
纪律|jìlǜ|kỷ luật
纪念|jìniàn|kỉ niệm
系领带|jìlǐngdài|thắt cà vạt
寂寞|jìmò|cô đơn
夹子|jiāzi|cái kẹp
家庭|jiātíng|gia đình
家务|jiāwù|việc nhà
家乡|jiāxiāng|quê hương
嘉宾|jiābīn|khách mời
甲|jiǎ|giáp
假如|jiǎrú|giả dụ
假设|jiǎshè|giả thuyết
假装|jiǎzhuāng|giả vờ
价值|jiàzhí|giá trị
驾驶|jiàshǐ|lái xe
嫁|jià|gả chồng
坚决|jiānjué|kiên quyết
坚强|jiānqiáng|kiên cường
肩膀|jiānbǎng|bờ vai
艰巨|jiānjù|khó khăn (công việc, nhiệm vụ)
艰苦|jiānkǔ|gian khổ, gian khóa
兼职|jiānzhí|kiêm nhiệm
捡|jiǎn|nhặt
剪刀|jiǎndāo|cái kéo
简历|jiǎnlì|sơ yếu lý lịch
简直|jiǎnzhí|gần như
建立|jiànlì|thành lập (tổ chức, trường học), thiết lập (quan hệ)
建设|jiànshè|dựng xây, xây dựng
建筑|jiànzhù|công trình xây dưng, (công ty) xây dựng, (ngành) xây dựng
健身|jiànshēn|tập thể dục
键盘|jiànpán|bàn phím
讲究|jiǎngjiū|coi trọng
讲座|jiǎngzuò|buổi diễn thuyết
酱油|jiàngyóu|xì dầu
交换|jiāohuàn|trao đổi
交际|jiāojì|giao tiếp
交往|jiāowǎng|đi lại, giao thiệp
浇|jiāo|tưới nước
胶水|jiāoshuǐ|keo dán
角度|jiǎodù|góc độ
狡猾|jiǎohuá|giảo hoạt
教材|jiàocái|giao trình
教练|jiàoliàn|huấn luyện viên
教训|jiàoxùn|giáo huấn, bài học
阶段|jiēduàn|giai đoạn
结实|jiēshi|chắc chắn
接触|jiēchù|tiếp xúc
接待|jiēdài|tiếp đãi
接近|jiējìn|tiếp cận
节省|jiéshěng|tiết kiệm
结构|jiégòu|kết cấu
结合|jiéhé|kết hợp
结论|jiélùn|kết luận
结账|jiézhàng|thanh toán
戒|jiè|cai (thuốc, rượu, nghiện)
戒指|jièzhǐ|nhẫn
届|jiè|khóa
借口|jièkǒu|cớ, lí do
金属|jīnshǔ|kim loại
尽快|jǐnkuài|mau chóng
尽量|jǐnliàng|cố gắng
紧急|jǐnjí|cấp bách
谨慎|jǐnshèn|cẩn thận, thận trọng
尽力|jìnlì|dốc hết sức
进步|jìnbù|tiến bộ
进口|jìnkǒu|nhập khẩu
近代|jìndài|cận đại
经典|jīngdiǎn|kinh điển
经商|jīngshāng|kinh doanh
经营|jīngyíng|kinh doanh (cửa hàng), vận hành (công ty)
精力|jīnglì|tinh lực
精神|jīngshén|tinh thần
酒吧|jiǔbā|quán ba
救|jiù|cứu
救护车|jiùhùchē|xe cứu thương
舅舅|jiùjiù|cậu (em mẹ)
居然|jūrán|không ngờ lại
桔子|júzi|quýt
巨大|jùdà|lớn (thành tựu, thay đổi, ảnh hưởng, tác hại)
具备|jùbèi|chuẩn bị đủ, có đủ (tư cách, điều kiện, tinh lực)
具体|jùtǐ|cụ thể
俱乐部|jùlèbù|câu lạc bộ
据说|jùshuō|nghe nói, nghe đồn
捐|juān|quyên góp
决赛|juésài|trận chung kết
决心|juéxīn|quyết tâm
角色|juésè|nhân vật
绝对|juéduì|tuyệt đối
军事|jūnshì|quân sự
均匀|jūnyún|bình quân, trung bình
卡车|kǎchē|xe tải
开发|kāifā|phát triển (hệ thống, ngành nghề, kĩ thuật, sản phẩm)
开放|kāifàng|mở cửa
开幕式|kāimùshì|lễ khai mạc
开水|kāishuǐ|nước sôi
砍|kǎn|chặt, chém
看不起|kànbùqǐ|coi khinh
看望|kànwàng|đi thăm
靠|kào|dựa dẫm, dựa vào
颗|kē|quả (lượng từ)
可见|kějiàn|cho thấy (đứng đầu vế câu thứ hai)
可靠|kěkào|đáng tin cậy
可怕|kěpà|đáng sợ
克|kè|gram
克服|kèfú|khắc phục
刻苦|kèkǔ|khắc khổ, chịu khó
客观|kèguān|khách quan
课程|kèchéng|môn học
空间|kōngjiān|không gian
空闲|kòngxián|rảnh rỗi (thời gian)
控制|kòngzhì|kiềm chế (cảm xúc, tình cảm), kiểm soát
口味|kǒuwèi|khẩu vị
夸|kuā|khen
夸张|kuāzhāng|phóng đại
会计|kuàìjì|kế toán
宽|kuān|rộng
昆虫|kūnchóng|côn trùng
扩大|kuòdà|mở rộng (phạm vi, khoảng cách, thị trường)
辣椒|làjiāo|ớt
拦|lán|ngăn, chặn
烂|làn|nát, loét, rách, thối rữa
朗读|lǎngdú|đọc to
劳动|láodòng|lao động
劳驾|láojià|làm ơn, xin phiền
老百姓|lǎobǎixìng|lão bách tính
老板|lǎobǎn|ông chủ
老婆|lǎopó|bà xã
老实|lǎoshí|thật thà
老鼠|lǎoshǔ|con chuột
姥姥|lǎolǎo|bà ngoại
乐观|lèguān|lạc quan
雷|léi|sấm
类型|lèixíng|loại hình
冷淡|lěngdàn|lãnh đạm, lạnh nhạt, lạnh lùng
厘米|límǐ|cm
